"species";"reg_occ_native_sp";"range_expanded_1970";"sauvagine";"oiseau_proie";"milieux_humides";"marin";"forestiers";"tous_autres";"rivage";"prairie";"insectivores";"espece_oie";"sauvagine_milieux_humides_canards";"prairires_indigene_dependante";"prairie_tolerante_agricole";"rivage_migrant_grande_distance";"rivage_migrant_courte_distance";"forest_winter_south_america";"forest_winter_canada";"forest_fruits_arbres"
"Anser caerulescens";1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
"Branta bernicla";1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
"Branta hutchinsii";1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
"Branta canadensis";1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
"Cygnus olor";NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Cygnus buccinator";1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Cygnus columbianus";1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aix sponsa";1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
"Spatula discors";1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
"Spatula clypeata";1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
"Mareca strepera";1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
"Mareca americana";1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
"Anas platyrhynchos";1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
"Anas rubripes";1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
"Anas acuta";1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
"Anas crecca";1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
"Aythya valisineria";1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
"Aythya americana";1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
"Aythya collaris";1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
"Aythya marila";1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
"Aythya affinis";1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
"Somateria spectabilis";1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
"Somateria mollissima";1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
"Histrionicus histrionicus";1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
"Melanitta perspicillata";1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
