"","observed_scientific_name","valid_scientific_name","vernacular_en","vernacular_fr","group_en","group_fr"
"1","Acipenser fulvescens","Acipenser fulvescens","Lake sturgeon","Esturgeon jaune","Fish","Poissons"
"2","Acipenser oxyrinchus","Acipenser oxyrhynchus","Atlantic sturgeon","Esturgeon noir","Fish","Poissons"
"3","Lasiurus cinereus","Aeorestes cinereus","Hoary bat","Chauve-souris cendrée","Mammals","Mammifères"
"4","Alces americanus","Alces alces","Eurasian elk","Orignal","Mammals","Mammifères"
"5","Vulpes lagopus","Alopex lagopus","Arctic fox","Renard arctique","Mammals","Mammifères"
"6","Alosa aestivalis","Alosa aestivalis","Blueback herring","Alose d'été","Fish","Poissons"
"7","Alosa pseudoharengus","Alosa pseudoharengus","Alewife","Gaspareau","Fish","Poissons"
"8","Alosa sapidissima","Alosa sapidissima","American shad","Alose savoureuse","Fish","Poissons"
"9","Ambloplites rupestris","Ambloplites rupestris","Rock bass","Crapet de roche","Fish","Poissons"
"10","Ambystoma laterale","Ambystoma laterale","Blue-spotted salamander","Salamandre à points bleus","Amphibians","Amphibiens"
"11","Ambystoma maculatum","Ambystoma maculatum","Spotted salamander","Salamandre maculée","Amphibians","Amphibiens"
"12","Ameiurus natalis","Ameiurus natalis","Yellow bullhead","Barbotte jaune","Fish","Poissons"
"13","Ameiurus nebulosus","Ameiurus nebulosus","Brown bullhead","Barbotte brune","Fish","Poissons"
"14","Amia calva","Amia calva","Bowfin","Poisson-castor","Fish","Poissons"
"15","Ammocrypta pellucida","Ammocrypta pellucida","Eastern sand darter","Dard de sable","Fish","Poissons"
"16","Anaxyrus americanus","Anaxyrus americanus","American toad","Crapaud d'amérique","Amphibians","Amphibiens"
"17","Anguilla rostrata","Anguilla rostrata","American eel","Anguille d'amérique","Fish","Poissons"
"18","Apalone spinifera","Apalone spinifera","Spiny softshell","Tortue-molle à épines","Reptiles","Reptiles"
"19","Apeltes quadracus","Apeltes quadracus","Bloody stickleback","Épinoche à quatre épines","Fish","Poissons"
"20","Aplodinotus grunniens","Aplodinotus grunniens","Freshwater drum","Malachigan","Fish","Poissons"
"21","Blarina brevicauda","Blarina brevicauda","Northern short-tailed shrew","Grande musaraigne","Mammals","Mammifères"
"22","Canis latrans","Canis latrans","Coyote","Coyote","Mammals","Mammifères"
"23","Canis lupus","Canis lupus","Gray wolf","Loup","Mammals","Mammifères"
"24","Canis lupus familiaris","Canis lupus familiaris","Domestic dog","Chien","Mammals","Mammifères"
"25","Carassius auratus","Carassius auratus","Goldfish","Poisson rouge","Fish","Poissons"
"26","Carpiodes cyprinus","Carpiodes cyprinus","Quillback","Couette","Fish","Poissons"
"27","Castor canadensis","Castor canadensis","American beaver","Castor du Canada","Mammals","Mammifères"
"28","Catostomus catostomus","Catostomus catostomus","Longnose sucker","Meunier rouge","Fish","Poissons"
"29","Catostomus commersonii","Catostomus commersonii","White sucker","Meunier noir","Fish","Poissons"
"30","Chelydra serpentina","Chelydra serpentina","Common snapping turtle","Tortue serpentine","Reptiles","Reptiles"
"31","Phoxinus eos","Chrosomus eos","Northern redbelly dace","Méné ventre rouge du Nord","Fish","Poissons"
"32","Phoxinus neogaeus","Chrosomus neogaeus","Finescale dace","Méné ventre citron","Fish","Poissons"
