"";"SPECIES";"SPI";"YEAR";"SELECTED_PROTECTED_AREA_TYPE";"UNION";"LOC"
"1";"Desmognathus ochrophaeus";0,0109495419410041;2023;NA;TRUE;"South"
"2";"Lepomis cyanellus";0,0122345962396355;2023;NA;TRUE;"South"
"3";"Sylvilagus floridanus";0,0155929101695536;2023;NA;TRUE;"South"
"4";"Microtus pinetorum";0,0226381092481432;2023;NA;TRUE;"South"
"5";"Myoxocephalus quadricornis";0,0226789634959031;2023;NA;TRUE;"North"
"6";"Gyrinophilus porphyriticus";0,0236891050129313;2023;NA;TRUE;"South"
"7";"Didelphis virginiana";0,0247279351307588;2023;NA;TRUE;"South"
"8";"Hemidactylium scutatum";0,0261324910534696;2023;NA;TRUE;"South"
"9";"Storeria dekayi";0,0296688992171559;2023;NA;TRUE;"South"
"10";"Desmognathus fuscus";0,0324623555332801;2023;NA;TRUE;"South"
"11";"Sorex dispar";0,0337773351559066;2023;NA;TRUE;"South"
"12";"Graptemys geographica";0,0349211819403786;2023;NA;TRUE;"South"
"13";"Noturus insignis";0,0362059515183145;2023;NA;TRUE;"South"
"14";"Carassius auratus";0,0389170845098873;2023;NA;TRUE;"South"
"15";"Exoglossum maxillingua";0,0398161890276113;2023;NA;TRUE;"South"
"16";"Urocyon cinereoargenteus";0,0416757246728068;2023;NA;TRUE;"South"
"17";"Esox niger";0,0442192559358235;2023;NA;TRUE;"South"
"18";"Alosa aestivalis";0,0447092335988772;2023;NA;TRUE;"South"
"19";"Cyprinella spiloptera";0,0452715544325009;2023;NA;TRUE;"South"
"20";"Percina copelandi";0,0482949488230731;2023;NA;TRUE;"South"
"21";"Notropis stramineus";0,0485222117978382;2023;NA;TRUE;"South"
"22";"Esox americanus americanus";0,0542559934088604;2023;NA;TRUE;"South"
"23";"Lethenteron appendix";0,0554602963834432;2023;NA;TRUE;"South"
"24";"Notropis bifrenatus";0,055816204442228;2023;NA;TRUE;"South"
"25";"Ctenopharyngodon idella";0,0560816024590125;2023;NA;TRUE;"South"
"26";"Ichthyomyzon fossor";0,0586240225006309;2023;NA;TRUE;"South"
"27";"Clemmys guttata";0,0595755282937872;2023;NA;TRUE;"South"
"28";"Salmo trutta";0,060948620767792;2023;NA;TRUE;"South"
"29";"Amia calva";0,0610522065874571;2023;NA;TRUE;"South"
"30";"Noturus flavus";0,0611281090831558;2023;NA;TRUE;"South"
"31";"Esox masquinongy";0,0615306319516589;2023;NA;TRUE;"South"
"32";"Peromyscus leucopus";0,0615679606550214;2023;NA;TRUE;"South"
"33";"Lampropeltis triangulum";0,0627908842731722;2023;NA;TRUE;"South"
"34";"Etheostoma nigrum";0,063229145298446;2023;NA;TRUE;"South"
"35";"Hiodon alosoides";0,063338365520976;2023;NA;TRUE;"South"
"36";"Pimephales notatus";0,0638080584794844;2023;NA;TRUE;"South"
"37";"Parascalops breweri";0,0648680184172141;2023;NA;TRUE;"South"
"38";"Cyprinus carpio";0,0650132466084193;2023;NA;TRUE;"South"
"39";"Pomoxis nigromaculatus";0,0664117542709516;2023;NA;TRUE;"South"
"40";"Notropis heterodon";0,0668448061982098;2023;NA;TRUE;"South"
