"SPECIES","YEAR","SPI","SPI_SOUTH","SPI_NORTH","SELECTED_PROTECTED_AREA_TYPE","UNION"
"Acipenser fulvescens",1876,0,0,NA,NA,TRUE
"Acipenser fulvescens",1900,0,0,NA,NA,TRUE
"Acipenser fulvescens",1919,0,0,NA,NA,TRUE
"Acipenser fulvescens",1925,0,0,NA,NA,TRUE
"Acipenser fulvescens",1927,0,0,NA,NA,TRUE
"Acipenser fulvescens",1931,0,0,NA,NA,TRUE
"Acipenser fulvescens",1937,0,0,NA,NA,TRUE
"Acipenser fulvescens",1938,0,0,NA,NA,TRUE
"Acipenser fulvescens",1941,0,0,NA,NA,TRUE
"Acipenser fulvescens",1955,0,0,NA,NA,TRUE
"Acipenser fulvescens",1960,0,0,NA,NA,TRUE
"Acipenser fulvescens",1970,0,0,NA,NA,TRUE
"Acipenser fulvescens",1972,0,0,NA,NA,TRUE
"Acipenser fulvescens",1976,0,0,NA,NA,TRUE
"Acipenser fulvescens",1977,0,0,NA,NA,TRUE
"Acipenser fulvescens",1978,0,0,NA,NA,TRUE
"Acipenser fulvescens",1979,0,0,NA,NA,TRUE
"Acipenser fulvescens",1980,0,0,NA,NA,TRUE
"Acipenser fulvescens",1981,0,0,NA,NA,TRUE
"Acipenser fulvescens",1982,0,0,NA,NA,TRUE
"Acipenser fulvescens",1983,0,0,NA,NA,TRUE
"Acipenser fulvescens",1984,0,0,NA,NA,TRUE
"Acipenser fulvescens",1985,0,0,NA,NA,TRUE
"Acipenser fulvescens",1986,0,0,NA,NA,TRUE
"Acipenser fulvescens",1987,0,0,NA,NA,TRUE
"Acipenser fulvescens",1988,0,0,NA,NA,TRUE
"Acipenser fulvescens",1989,0,0,NA,NA,TRUE
"Acipenser fulvescens",1990,0,0,NA,NA,TRUE
"Acipenser fulvescens",1991,0,0,NA,NA,TRUE
"Acipenser fulvescens",1992,0,0,NA,NA,TRUE
"Acipenser fulvescens",1993,0,0,NA,NA,TRUE
"Acipenser fulvescens",1994,0,0,NA,NA,TRUE
"Acipenser fulvescens",1995,0,0,NA,NA,TRUE
"Acipenser fulvescens",1996,0,0,NA,NA,TRUE
"Acipenser fulvescens",1997,0,0,NA,NA,TRUE
"Acipenser fulvescens",1998,0,0,NA,NA,TRUE
"Acipenser fulvescens",1999,0,0,NA,NA,TRUE
"Acipenser fulvescens",2000,0,0,NA,NA,TRUE
"Acipenser fulvescens",2001,0,0,NA,NA,TRUE
"Acipenser fulvescens",2002,0,0,NA,NA,TRUE
"Acipenser fulvescens",2003,0,0,NA,NA,TRUE
"Acipenser fulvescens",2004,0,0,NA,NA,TRUE
"Acipenser fulvescens",2005,0.116258301966328,0.116258301966332,NA,NA,TRUE
"Acipenser fulvescens",2006,0.116354787519862,0.116354787519865,NA,NA,TRUE
"Acipenser fulvescens",2007,0.116354787519862,0.116354787519865,NA,NA,TRUE
"Acipenser fulvescens",2008,0.116354787519862,0.116354787519865,NA,NA,TRUE
"Acipenser fulvescens",2009,0.116354787519862,0.116354787519865,NA,NA,TRUE
"Acipenser fulvescens",2010,0.116354787519862,0.116354787519865,NA,NA,TRUE
"Acipenser fulvescens",2011,0.116354787519862,0.116354787519865,NA,NA,TRUE
"Acipenser fulvescens",2012,0.116354787519862,0.116354787519865,NA,NA,TRUE
"Acipenser fulvescens",2013,0.116354787519862,0.116354787519865,NA,NA,TRUE
"Acipenser fulvescens",2014,0.116354787519862,0.116354787519865,NA,NA,TRUE
"Acipenser fulvescens",2015,0.116354787519862,0.116354787519865,NA,NA,TRUE
"Acipenser fulvescens",2016,0.116354787519862,0.116354787519865,NA,NA,TRUE
"Acipenser fulvescens",2017,0.116354787519862,0.116354787519865,NA,NA,TRUE
"Acipenser fulvescens",2018,0.116354787519862,0.116354787519865,NA,NA,TRUE
"Acipenser fulvescens",2019,0.116354787519862,0.116354787519865,NA,NA,TRUE
"Acipenser fulvescens",2020,0.116354787519862,0.116354787519865,NA,NA,TRUE
"Acipenser fulvescens",2021,0.116354787519862,0.116354787519865,NA,NA,TRUE
"Acipenser fulvescens",2022,0.116354787519862,0.116354787519865,NA,NA,TRUE
"Acipenser fulvescens",2023,0.116354787519862,0.116354787519865,NA,NA,TRUE
"Acipenser oxyrinchus",1876,0,0,NA,NA,TRUE
"Acipenser oxyrinchus",1900,0,0,NA,NA,TRUE
"Acipenser oxyrinchus",1919,0,0,NA,NA,TRUE
"Acipenser oxyrinchus",1925,0,0,NA,NA,TRUE
"Acipenser oxyrinchus",1927,0,0,NA,NA,TRUE
"Acipenser oxyrinchus",1931,0,0,NA,NA,TRUE
"Acipenser oxyrinchus",1937,0,0,NA,NA,TRUE
"Acipenser oxyrinchus",1938,0,0,NA,NA,TRUE
"Acipenser oxyrinchus",1941,0,0,NA,NA,TRUE
"Acipenser oxyrinchus",1955,0,0,NA,NA,TRUE
"Acipenser oxyrinchus",1960,0,0,NA,NA,TRUE
"Acipenser oxyrinchus",1970,0,0,NA,NA,TRUE
"Acipenser oxyrinchus",1972,0,0,NA,NA,TRUE
"Acipenser oxyrinchus",1976,0,0,NA,NA,TRUE
"Acipenser oxyrinchus",1977,0,0,NA,NA,TRUE
"Acipenser oxyrinchus",1978,0,0,NA,NA,TRUE
"Acipenser oxyrinchus",1979,0,0,NA,NA,TRUE
"Acipenser oxyrinchus",1980,0,0,NA,NA,TRUE
"Acipenser oxyrinchus",1981,0,0,NA,NA,TRUE
"Acipenser oxyrinchus",1982,0,0,NA,NA,TRUE
"Acipenser oxyrinchus",1983,0,0,NA,NA,TRUE
"Acipenser oxyrinchus",1984,0,0,NA,NA,TRUE
"Acipenser oxyrinchus",1985,0,0,NA,NA,TRUE
"Acipenser oxyrinchus",1986,0,0,NA,NA,TRUE
"Acipenser oxyrinchus",1987,0,0,NA,NA,TRUE
"Acipenser oxyrinchus",1988,0,0,NA,NA,TRUE
"Acipenser oxyrinchus",1989,0,0,NA,NA,TRUE
"Acipenser oxyrinchus",1990,0,0,NA,NA,TRUE
"Acipenser oxyrinchus",1991,0,0,NA,NA,TRUE
"Acipenser oxyrinchus",1992,0,0,NA,NA,TRUE
"Acipenser oxyrinchus",1993,0.0539159681759501,0.0539159681759493,NA,NA,TRUE
"Acipenser oxyrinchus",1994,0.0539159681759501,0.0539159681759493,NA,NA,TRUE
"Acipenser oxyrinchus",1995,0.0539159681759501,0.0539159681759493,NA,NA,TRUE
"Acipenser oxyrinchus",1996,0.0539159681759501,0.0539159681759493,NA,NA,TRUE
"Acipenser oxyrinchus",1997,0.0539159681759501,0.0539159681759493,NA,NA,TRUE
"Acipenser oxyrinchus",1998,0.0539159681759501,0.0539159681759493,NA,NA,TRUE
"Acipenser oxyrinchus",1999,0.0539159681759501,0.0539159681759493,NA,NA,TRUE
"Acipenser oxyrinchus",2000,0.075572107354151,0.0755721073541504,NA,NA,TRUE
"Acipenser oxyrinchus",2001,0.075572107354151,0.0755721073541504,NA,NA,TRUE
"Acipenser oxyrinchus",2002,0.075572107354151,0.0755721073541504,NA,NA,TRUE
"Acipenser oxyrinchus",2003,0.075572107354151,0.0755721073541504,NA,NA,TRUE
"Acipenser oxyrinchus",2004,0.075572107354151,0.0755721073541504,NA,NA,TRUE
"Acipenser oxyrinchus",2005,0.117179921723138,0.117179921723137,NA,NA,TRUE
"Acipenser oxyrinchus",2006,0.117179921723138,0.117179921723137,NA,NA,TRUE
"Acipenser oxyrinchus",2007,0.117179921723138,0.117179921723137,NA,NA,TRUE
"Acipenser oxyrinchus",2008,0.117179921723138,0.117179921723137,NA,NA,TRUE
"Acipenser oxyrinchus",2009,0.117179921723138,0.117179921723137,NA,NA,TRUE
"Acipenser oxyrinchus",2010,0.117179921723138,0.117179921723137,NA,NA,TRUE
"Acipenser oxyrinchus",2011,0.117179921723138,0.117179921723137,NA,NA,TRUE
"Acipenser oxyrinchus",2012,0.117179921723138,0.117179921723137,NA,NA,TRUE
"Acipenser oxyrinchus",2013,0.117179921723138,0.117179921723137,NA,NA,TRUE
"Acipenser oxyrinchus",2014,0.117395221145204,0.117395221145203,NA,NA,TRUE
"Acipenser oxyrinchus",2015,0.117395221145204,0.117395221145203,NA,NA,TRUE
"Acipenser oxyrinchus",2016,0.117395221145204,0.117395221145203,NA,NA,TRUE
"Acipenser oxyrinchus",2017,0.117395221145204,0.117395221145203,NA,NA,TRUE
"Acipenser oxyrinchus",2018,0.117395221145204,0.117395221145203,NA,NA,TRUE
"Acipenser oxyrinchus",2019,0.117395221145204,0.117395221145203,NA,NA,TRUE
"Acipenser oxyrinchus",2020,0.850316047782908,0.850316047782935,NA,NA,TRUE
"Acipenser oxyrinchus",2021,0.850316047782908,0.850316047782934,NA,NA,TRUE
"Acipenser oxyrinchus",2022,0.850316047782908,0.850316047782934,NA,NA,TRUE
"Acipenser oxyrinchus",2023,0.850316047782022,0.850316047782934,NA,NA,TRUE
"Agastache nepetoides",1876,0,0,NA,NA,TRUE
"Agastache nepetoides",1900,0,0,NA,NA,TRUE
"Agastache nepetoides",1919,0,0,NA,NA,TRUE
"Agastache nepetoides",1925,0,0,NA,NA,TRUE
"Agastache nepetoides",1927,0,0,NA,NA,TRUE
"Agastache nepetoides",1931,0,0,NA,NA,TRUE
"Agastache nepetoides",1937,0,0,NA,NA,TRUE
"Agastache nepetoides",1938,0,0,NA,NA,TRUE
"Agastache nepetoides",1941,0,0,NA,NA,TRUE
"Agastache nepetoides",1955,0.113983116570706,0.11398311657071,NA,NA,TRUE
"Agastache nepetoides",1960,0.113983116570706,0.11398311657071,NA,NA,TRUE
"Agastache nepetoides",1970,0.113983116570706,0.11398311657071,NA,NA,TRUE
"Agastache nepetoides",1972,0.113983116570706,0.11398311657071,NA,NA,TRUE
"Agastache nepetoides",1976,0.113983116570706,0.11398311657071,NA,NA,TRUE
"Agastache nepetoides",1977,0.113983116570706,0.11398311657071,NA,NA,TRUE
"Agastache nepetoides",1978,0.113983116570706,0.11398311657071,NA,NA,TRUE
"Agastache nepetoides",1979,0.264652710236424,0.264652710236433,NA,NA,TRUE
"Agastache nepetoides",1980,0.264652710236424,0.264652710236433,NA,NA,TRUE
"Agastache nepetoides",1981,0.264652710236422,0.264652710236428,NA,NA,TRUE
"Agastache nepetoides",1982,0.264652710236422,0.264652710236429,NA,NA,TRUE
"Agastache nepetoides",1983,0.264652710236418,0.264652710236429,NA,NA,TRUE
"Agastache nepetoides",1984,0.264652710236419,0.264652710236424,NA,NA,TRUE
"Agastache nepetoides",1985,0.264652710236418,0.264652710236424,NA,NA,TRUE
"Agastache nepetoides",1986,0.264652710236419,0.264652710236424,NA,NA,TRUE
"Agastache nepetoides",1987,0.264652710236408,0.264652710236424,NA,NA,TRUE
"Agastache nepetoides",1988,0.264652710236409,0.264652710236424,NA,NA,TRUE
"Agastache nepetoides",1989,0.264652710236409,0.264652710236424,NA,NA,TRUE
"Agastache nepetoides",1990,0.264786951858968,0.264786951858983,NA,NA,TRUE
"Agastache nepetoides",1991,0.264786951858972,0.264786951858983,NA,NA,TRUE
"Agastache nepetoides",1992,0.264905505964873,0.26490550596488,NA,NA,TRUE
"Agastache nepetoides",1993,0.264905505964873,0.26490550596488,NA,NA,TRUE
"Agastache nepetoides",1994,0.264905505964871,0.26490550596488,NA,NA,TRUE
"Agastache nepetoides",1995,0.264905505964871,0.26490550596488,NA,NA,TRUE
"Agastache nepetoides",1996,0.26490550596487,0.26490550596488,NA,NA,TRUE
"Agastache nepetoides",1997,0.26490550596487,0.26490550596488,NA,NA,TRUE
"Agastache nepetoides",1998,0.26490550596487,0.26490550596488,NA,NA,TRUE
"Agastache nepetoides",1999,0.26490550596487,0.26490550596488,NA,NA,TRUE
"Agastache nepetoides",2000,0.264905505964873,0.26490550596488,NA,NA,TRUE
"Agastache nepetoides",2001,0.26490550596487,0.26490550596488,NA,NA,TRUE
"Agastache nepetoides",2002,0.264905505964871,0.26490550596488,NA,NA,TRUE
"Agastache nepetoides",2003,0.264905505964871,0.26490550596488,NA,NA,TRUE
"Agastache nepetoides",2004,0.264905505964871,0.264905505964879,NA,NA,TRUE
"Agastache nepetoides",2005,0.387989077128342,0.387989077127918,NA,NA,TRUE
"Agastache nepetoides",2006,0.387989077128339,0.387989077127918,NA,NA,TRUE
"Agastache nepetoides",2007,0.388637120541118,0.388637120540699,NA,NA,TRUE
"Agastache nepetoides",2008,0.38863712073011,0.388637120540697,NA,NA,TRUE
"Agastache nepetoides",2009,0.388637120541115,0.388637120540699,NA,NA,TRUE
"Agastache nepetoides",2010,0.388637120610533,0.388637120540698,NA,NA,TRUE
"Agastache nepetoides",2011,0.388637120541113,0.388637120540699,NA,NA,TRUE
"Agastache nepetoides",2012,0.388637120541116,0.3886371205407,NA,NA,TRUE
