"","x"
"X1992",0.00964314208659119
"X1993",0.00807889319670795
"X1994",0.00799469015027145
"X1995",0.00715252465288534
"X1996",0.00376093036980644
"X1997",0.00361033070230788
"X1998",0.00566631760959184
"X1999",0.00581185412207583
"X2000",0.00790388545446843
"X2001",0.00728470808859324
"X2002",0.00740503043679889
"X2003",0.00758601213443694
"X2004",0.0077179624138624
"X2005",Inf
"X2006",0.00696136434647802
"X2007",0.00734257094775707
"X2008",0.0071385715266265
"X2009",Inf
"X2010",0.00903142139821033
"X2011",0.00905122990829685
"X2012",0.00894444356042038
"X2013",0.00876906186988731
"X2014",0.00778196187465891
"X2015",0.00843678472415218
"X2016",Inf
"X2017",Inf
