"","x"
"X1992",0.0459949929809274
"X1993",0.0386630515663256
"X1994",0.0639390274802433
"X1995",0.0499002750850751
"X1996",0.0356221463805156
"X1997",0.0522510518009401
"X1998",0.057649028331438
"X1999",0.0596787475430335
"X2000",0.0577064185820813
"X2001",0.0610019610440563
"X2002",0.059309442726497
"X2003",0.0591686498896178
"X2004",0.0343068879377709
"X2005",0.0377220524660481
"X2006",0.0375005153228242
"X2007",0.0570927518557646
"X2008",0.0595601162233593
"X2009",0.0339048824925018
"X2010",0.0391190762388093
"X2011",0.0586180607866299
"X2012",0.0424535153934143
"X2013",0.0422137189086932
"X2014",0.0342931281376229
"X2015",0.0350129917038582
"X2016",0.0403228723049116
"X2017",0.0604697019960746
