"","x"
"X1992",0.00534580142856592
"X1993",0.00404525761252349
"X1994",0.00531909938647652
"X1995",0.00673410663006287
"X1996",0.00691874234027446
"X1997",0.00445544136120824
"X1998",0.00452003701599465
"X1999",0.00439386955716944
"X2000",0.00321617274657928
"X2001",0.00421770272209509
"X2002",0.00378659014713013
"X2003",0.00369687007783153
"X2004",0.00361967264301404
"X2005",0.00374130539174549
"X2006",0.00393514513596433
"X2007",0.00374758956416794
"X2008",0.00449336986642444
"X2009",0.00529367286260538
"X2010",0.00543746358881788
"X2011",0.00535130445892259
"X2012",0.0069080519494166
"X2013",0.00692307207002008
"X2014",0.00692625669125925
"X2015",0.00681637688786736
"X2016",0.00694843728011839
"X2017",0.00668706112253061
