"","x"
"X1992",0.0976479029439515
"X1993",0.0816910982908567
"X1994",0.0630836144906588
"X1995",0.0644702257239258
"X1996",0.0673116038115512
"X1997",0.0619253381628965
"X1998",0.0612460441601148
"X1999",0.0591929732586175
"X2000",0.0611655158117206
"X2001",0.0695394051351206
"X2002",0.0770946486910363
"X2003",0.0773759761125125
"X2004",0.0731419892499894
"X2005",0.118360382054936
"X2006",0.119654883223358
"X2007",0.127634418205558
"X2008",0.126970817135901
"X2009",0.0993210686838799
"X2010",0.0874229365869472
"X2011",0.0860828646786345
"X2012",0.0785031976431034
"X2013",0.0773561952255549
"X2014",0.0854257759058884
"X2015",0.0833047723169204
"X2016",0.0873741932241899
"X2017",0.0896897138640451
