"","x"
"X1992",0.00361656094104285
"X1993",0.00504718070481456
"X1994",0.00485560703262895
"X1995",0.00477237652728555
"X1996",0.00339345287367282
"X1997",0.00312914518952706
"X1998",0.00303595099834437
"X1999",0.00352945441715525
"X2000",0.00677535592058211
"X2001",0.00675092084019646
"X2002",0.00675793652569157
"X2003",0.00680881360541951
"X2004",0.00677688327111647
"X2005",0.0038409081152787
"X2006",0.00654913443894156
"X2007",0.00667180980029931
"X2008",0.00688601344193601
"X2009",0.0070461621736151
"X2010",0.00698476879130537
"X2011",0.0070549955318056
"X2012",0.00693220690016276
"X2013",0.00656975747208503
"X2014",0.00658582626860976
"X2015",0.00671819644288422
"X2016",0.00670547619018663
"X2017",0.00664246033964949
