"","x"
"X1996",0.00359108122102406
"X1997",0.00341298146566083
"X1998",0.00270640593456069
"X1999",0.00273331006073077
"X2000",0.00351736361432992
"X2001",0.00311220255883511
"X2002",0.00321974720726911
"X2003",0.00314136328162883
"X2004",0.00316442485588538
"X2005",0.00323082428295509
"X2006",0.0032412631052596
"X2007",0.00328997947639916
"X2008",0.00333692021170202
"X2009",0.00382585595669271
"X2010",0.00314937424156538
"X2011",0.0031400677014877
"X2012",0.00307199446258618
"X2013",0.00347710525856691
"X2014",0.00335371325822986
"X2015",0.00382228027768098
"X2016",0.0034601763049434
"X2017",0.00318533882522018
