"","x"
"X1992",0.00317732780066488
"X1993",0.00318599383483752
"X1994",0.00322259056329861
"X1995",0.00322421901839088
"X1996",0.00323016875807528
"X1997",0.00323328916769408
"X1998",0.00321321350243122
"X1999",0.00326835542313323
"X2000",0.00316933708493994
"X2001",0.00322860673687694
"X2002",0.0033753219176208
"X2003",0.00305881286071094
"X2004",0.00374467372308765
"X2005",0.00329636511317812
"X2006",0.00317028947117444
"X2007",0.00366890916845092
"X2008",0.00333355983208199
"X2009",0.00333000421871695
"X2010",0.00321378756963997
"X2011",0.00318992323844495
"X2012",0.00370673784139188
"X2013",0.00322439898163803
"X2014",0.00385810537599181
"X2015",0.00363005168270427
"X2016",0.0040770541024581
"X2017",0.0036000605776597
