"","x"
"X1996",0.0656248233320171
"X1997",0.0749444299035544
"X1998",0.0641398410140692
"X1999",0.0659142371473848
"X2000",0.145709965707058
"X2001",0.109453165703154
"X2002",0.135531909215707
"X2003",0.140773285987232
"X2004",0.161241682304028
"X2005",0.0971583202782546
"X2006",0.0979960427941108
"X2007",0.0960014348470385
"X2008",0.0747125895771496
"X2009",0.0764618973742756
"X2010",0.0851181691810724
"X2011",0.0768797611947256
"X2012",0.0960011974032482
"X2013",0.0892698738173924
"X2014",0.0854406238127972
"X2015",0.0857127443040354
"X2016",0.081239961594824
"X2017",0.0855761990128053
