"","x"
"X1992",0.136581871978849
"X1993",0.127729662487433
"X1994",0.127647784165724
"X1995",0.059134668470969
"X1996",0.0613289585664609
"X1997",0.0902041163710176
"X1998",0.108295875368044
"X1999",0.103773744506937
"X2000",0.135696800441517
"X2001",0.142308631046943
"X2002",0.13871111641154
"X2003",0.136337070864275
"X2004",0.126538468238906
"X2005",0.132818234689323
"X2006",0.127433265867254
"X2007",0.0922779481444006
"X2008",0.108206477613141
"X2009",0.150390388907127
"X2010",0.150555910567829
"X2011",0.149391080187544
"X2012",0.152022687604936
"X2013",0.152082137938376
"X2014",0.149097222525206
"X2015",0.149712224950073
"X2016",0.148753717848722
"X2017",0.148443521892989
