"","x"
"X2000",0.00342468968460373
"X2001",0.00262247406416824
"X2002",0.0024313903415743
"X2003",0.00217521814531659
"X2004",0.00314911623412844
"X2005",0.00321899252657414
"X2006",0.00336694017720465
"X2007",0.00331302604109809
"X2008",0.00594165705084217
"X2009",0.00725833614832444
"X2010",0.0078607210601139
"X2011",0.00783765250154927
"X2012",0.00767078099379644
"X2013",0.00698303666470436
"X2014",0.00684595280314325
"X2015",0.00619100254013751
"X2016",0.00688371136235725
"X2017",0.007315932776272
