"","x"
"X1992",0.00339727103059415
"X1993",0.00323319670702789
"X1994",0.00317835278793952
"X1995",0.00321957683847267
"X1996",0.00324454337250645
"X1997",0.00324464393845901
"X1998",0.0032549488744464
"X1999",0.00327309680681838
"X2000",0.00334638083548192
"X2001",0.0033199990705827
"X2002",0.00331025967655029
"X2003",0.00328588800015463
"X2004",0.00334549517682643
"X2005",0.00326662189617442
"X2006",0.00337040124891726
"X2007",0.00325108995574556
"X2008",0.00335988474790012
"X2009",0.00327008344047361
"X2010",0.0032169864282122
"X2011",0.00324885633577351
"X2012",0.00325264654801406
"X2013",0.00327535915222541
"X2014",0.00330785943721464
"X2015",0.00327921093101784
"X2016",0.00323562006326228
"X2017",0.00324318475587943
