"","x"
"X1992",0.0304332324462691
"X1993",0.0293095752238936
"X1994",0.0332954887516108
"X1995",0.0322996498702616
"X1996",0.0387422629856108
"X1997",0.0310608507811976
"X1998",0.0303724892503285
"X1999",0.0312471316639687
"X2000",0.031280864576637
"X2001",0.0283396413067024
"X2002",0.0299836624504233
"X2003",0.0282704165072234
"X2004",0.0436869241665243
"X2005",0.0461008531410287
"X2006",0.0337992066011324
"X2007",0.034512998645002
"X2008",0.0364804244358804
"X2009",0.0326954934207668
"X2010",0.0305232843347973
"X2011",0.0403646175385849
"X2012",0.0308359518105138
"X2013",0.0282791110161527
"X2014",0.0313401043436664
"X2015",0.0468248918593284
"X2016",0.0475534065622382
"X2017",0.0479123134592519
