"","x"
"X1992",0.0609406655947431
"X1993",0.0609017256922934
"X1994",0.0616102052767645
"X1995",0.061052488287041
"X1996",0.0605725038886469
"X1997",0.0606330456262061
"X1998",0.0594303920810864
"X1999",0.0662372658222111
"X2000",0.0699292010951237
"X2001",0.0930275718620658
"X2002",0.0923885164622514
"X2003",0.088354677414199
"X2004",0.0895789306610105
"X2005",0.0876712727593756
"X2006",0.0700919280432441
"X2007",0.0697212016625817
"X2008",0.0676033824975923
"X2009",0.0653421561972079
"X2010",0.0684564903226567
"X2011",0.0684981082103327
"X2012",0.0776660961650117
"X2013",0.0735815077430074
"X2014",0.076100927239579
"X2015",0.0671998011370475
"X2016",0.0659635444459582
"X2017",0.0636296527458157
