"","x"
"X1995",0.0306611353360693
"X1996",0.0286945302676853
"X1997",0.027113762651399
"X1998",0.028584871238526
"X1999",0.0424921678842949
"X2000",0.0902329777199853
"X2001",0.122919479436079
"X2002",0.12333949876481
"X2003",0.12333949876481
"X2004",0.131281704125266
"X2005",0.154886244094059
"X2006",0.157811624013184
"X2007",0.132433713552048
"X2008",0.132906174775473
"X2009",0.123544145711986
"X2010",0.114731645557245
"X2011",0.13722738633977
"X2012",0.142340531374139
"X2013",0.13829825576096
"X2014",0.142461531990508
"X2015",0.14390334099301
"X2016",0.134293908510719
"X2017",0.123882457785631
