"","x"
"X1998",0.0545118467330522
"X1999",0.0223476419251745
"X2000",0.0657573734717183
"X2001",0.0638990015714688
"X2002",0.0650065179731391
"X2003",0.0670541592245721
"X2004",0.0719527579806591
"X2005",NA
"X2006",NA
"X2007",0.122158558391978
"X2008",0.129989278738594
"X2009",0.126566912907229
"X2010",0.10657359177765
"X2011",0.107138864700915
"X2012",0.101543105121898
"X2013",0.0987427134755492
"X2014",0.0937238969538762
"X2015",0.0933291771133611
"X2016",0.0927818580639614
"X2017",0.0809389278206337
