"","x"
"X1992",NA
"X1993",0.0131406806116563
"X1994",0.00950320490097534
"X1995",0.0102705520263366
"X1996",0.00851065377516468
"X1997",0.019525911007334
"X1998",0.013440636777704
"X1999",0.0150565289652423
"X2000",0.0164261509556844
"X2001",0.0192843526452821
"X2002",0.0177766520438989
"X2003",0.0179048940073598
"X2004",0.0149837249861779
"X2005",0.019191154058736
"X2006",0.0186112920025095
"X2007",0.0155802372066204
"X2008",0.0175528320400738
"X2009",0.0190636737766356
"X2010",0.0186562518901071
"X2011",0.0193682608025172
"X2012",0.0196337926279605
"X2013",0.0208238592679649
"X2014",0.0186236077545588
"X2015",0.0192750217914096
"X2016",0.0192116378757749
"X2017",0.0184965027472488
