"","x"
"X1992",0.0021341552236012
"X1993",0.00172703340247411
"X1994",0.00191551357699186
"X1995",0.00173364292485419
"X1996",0.00172410878365516
"X1997",0.00177395846651128
"X1998",0.0017571926268249
"X1999",0.00182104821241757
"X2000",0.00179616875400191
"X2001",0.00179804838001495
"X2002",0.00170020887855427
"X2003",0.00178636343501768
"X2004",0.00177728689800312
"X2005",0.00319105831730581
"X2006",0.00318227268663634
"X2007",0.00321075415772882
"X2008",0.00294755390021203
"X2009",0.00299913247505635
"X2010",0.00186965319257728
"X2011",0.00189738430431168
"X2012",0.00176635458480772
"X2013",0.00266961576958051
"X2014",0.00272811239235127
"X2015",0.00293214950309552
"X2016",0.00324348108456501
"X2017",0.00324286310176789
