"","x"
"X1992",0.09843722138714
"X1993",0.100396298251004
"X1994",0.100230701087436
"X1995",0.0971314317619086
"X1996",0.0676769559620658
"X1997",0.0616318718211175
"X1998",0.063318697017281
"X1999",0.0630751261180734
"X2000",0.0718658962538355
"X2001",0.0728933521573331
"X2002",0.072444077245969
"X2003",0.0952454357035941
"X2004",0.0724123469309746
"X2005",0.0844605314255708
"X2006",0.0907355014465113
"X2007",0.099170419924524
"X2008",0.101528576745641
"X2009",0.0970433212367263
"X2010",0.101002627746244
"X2011",0.100520675172651
"X2012",0.0787943273341975
"X2013",0.0950512527966271
"X2014",0.0940468319562396
"X2015",0.0932113100524952
"X2016",0.0930245811346189
"X2017",0.0931639515952068
