"","x"
"X1992",0.0599168915192173
"X1993",0.0639764928434377
"X1994",0.0626576503128106
"X1995",0.0627466746561254
"X1996",0.0610092511633302
"X1997",0.0614298037994286
"X1998",0.0613555258178832
"X1999",0.0615655082212128
"X2000",0.0831441397234065
"X2001",0.0827584960870998
"X2002",0.0806916862415876
"X2003",0.0826943381031748
"X2004",0.0803519769673768
"X2005",0.0769328287673684
"X2006",0.0774745447228543
"X2007",0.0853324252241035
"X2008",0.0848701502301428
"X2009",0.0767471111297146
"X2010",0.0763785481145217
"X2011",0.0812038009824298
"X2012",0.106246141784959
"X2013",0.125560125573976
"X2014",0.106338511734016
"X2015",0.104382947718612
"X2016",0.0999623828382624
"X2017",0.094280422717805
