"","x"
"X1992",0.0550617096393673
"X1993",0.058099079547486
"X1994",0.0552002209185559
"X1995",0.0576902868824449
"X1996",0.0578629808076211
"X1997",0.0582990836489178
"X1998",0.0565070964119906
"X1999",0.0645163811606473
"X2000",0.110073569602352
"X2001",0.109580231552
"X2002",0.109288227931293
"X2003",0.109044208985516
"X2004",0.106621471785095
"X2005",0.0720546023562035
"X2006",0.0651330784108297
"X2007",0.0786756957938564
"X2008",0.0758808705495143
"X2009",0.0809474931217195
"X2010",0.0739703528123791
"X2011",0.0725239655756379
"X2012",0.0825587128932721
"X2013",0.0945363539566473
"X2014",0.0894199928340389
"X2015",0.0948349372147422
"X2016",0.0951585337611548
"X2017",0.110466972323451
