"","x"
"X1992",0.0784918718588381
"X1993",0.0574505403850337
"X1994",0.0661317314505794
"X1995",0.0666641031434257
"X1996",0.070022872103899
"X1997",0.0630301624694865
"X1998",0.0578604031961973
"X1999",0.0691529901092309
"X2000",0.0958991203989514
"X2001",0.101380197505436
"X2002",0.0958227904874701
"X2003",0.0818834046843142
"X2004",0.102477848452546
"X2005",0.109899611104282
"X2006",0.0807021476605972
"X2007",0.0656888763814751
"X2008",0.0638513631528385
"X2009",0.109736962032847
"X2010",0.106908544319902
"X2011",0.0892206496251053
"X2012",0.130377122515637
"X2013",0.0785660701866429
"X2014",0.0827755348080189
"X2015",0.085389497202516
"X2016",0.0792170195221633
"X2017",0.0767720714933602
