"","x"
"X1992",0.00527241002608098
"X1993",0.00532185744836402
"X1994",0.0038861770886715
"X1995",0.00341649542218071
"X1996",0.00341704412167378
"X1997",0.00332660665835637
"X1998",0.00331723345330131
"X1999",0.00511737038765591
"X2000",0.00656720225590553
"X2001",0.00656150899345578
"X2002",0.00665767895304026
"X2003",0.00662784728377754
"X2004",0.00665039921836524
"X2005",0.00655585936275358
"X2006",0.00519638394323447
"X2007",0.00632581287655028
"X2008",0.00651197167113417
"X2009",0.00461463414344003
"X2010",0.00638026798521739
"X2011",0.00484190342257532
"X2012",0.00504709698608331
"X2013",0.00593929637465377
"X2014",0.00546145388365134
"X2015",0.00544435283395417
"X2016",0.00614634937510391
"X2017",0.00526602902041019
