"","x"
"X1992",0.0639794846936386
"X1993",0.0640366084440888
"X1994",0.063964034223189
"X1995",0.0628065653805618
"X1996",0.0627553081240904
"X1997",0.0636243506953188
"X1998",0.0643326171891862
"X1999",0.0641732703359223
"X2000",0.0630309650285285
"X2001",0.0625842800727351
"X2002",0.0606643372149679
"X2003",0.0604446422533057
"X2004",0.0619803895044651
"X2005",0.061159521084652
"X2006",0.0623387761444472
"X2007",0.0602547155724601
"X2008",0.0629119572227003
"X2009",0.0624453509154321
"X2010",0.0615808989348128
"X2011",0.0618650245257355
"X2012",0.0609373768822134
"X2013",0.0677059059852016
"X2014",0.0679511666881474
"X2015",0.0686931244884037
"X2016",0.068466336228746
"X2017",0.0678373824611986
