"","x"
"X1992",0.0448841380799732
"X1993",0.0390631321292717
"X1994",0.0392215954307771
"X1995",0.0316382586222873
"X1996",0.0332026944309825
"X1997",0.0329466386036072
"X1998",0.0319012495196018
"X1999",0.0305923133660714
"X2000",0.0350890066450808
"X2001",0.0640907065656521
"X2002",0.0610808186500369
"X2003",0.0645547541223727
"X2004",0.0664891124364158
"X2005",0.0630406453790155
"X2006",0.0609134900606153
"X2007",0.0599348512482526
"X2008",0.0599806272389723
"X2009",0.0612924677205512
"X2010",0.0391353265800814
"X2011",0.0393541323040404
"X2012",0.0389589277785108
"X2013",0.0329214905912028
"X2014",0.0342170838804749
"X2015",0.0444769357429013
"X2016",0.044104000782013
"X2017",0.0447324437139158
