"","x"
"X1992",0.0400918283749751
"X1993",0.0414220343574274
"X1994",0.0413046358271339
"X1995",0.0454437029948218
"X1996",0.043537117197426
"X1997",0.052743977927012
"X1998",0.0483187205072289
"X1999",0.0547489164194191
"X2000",0.0569258884317752
"X2001",0.0874563806403392
"X2002",0.0892652989758231
"X2003",0.066882150134038
"X2004",0.0597859802494336
"X2005",0.0590719139700213
"X2006",0.057713906442661
"X2007",0.0646651661128936
"X2008",0.0938128770037977
"X2009",0.150098691234919
"X2010",0.14906773476482
"X2011",0.149242258663474
"X2012",0.150174779423139
"X2013",0.147801228697403
"X2014",0.125848389062311
"X2015",0.124975354782445
"X2016",0.12480694834876
"X2017",0.12593222080309
