"","x"
"X1992",0.0564636336364098
"X1993",0.0612315745952111
"X1994",0.0614875481247811
"X1995",0.0621118250824331
"X1996",0.0618668527628847
"X1997",0.0620621497986645
"X1998",0.0630209510000222
"X1999",0.069497711377786
"X2000",0.0726497164955516
"X2001",0.0726650495285128
"X2002",0.0726852635764013
"X2003",0.0725961979741686
"X2004",0.0663418650552441
"X2005",0.063284343031834
"X2006",0.0623149921598087
"X2007",0.0630500015988544
"X2008",0.0638472528351735
"X2009",0.0638841298762358
"X2010",0.0659421588939764
"X2011",0.0743135735658762
"X2012",0.0762816238271331
"X2013",0.0767860798707478
"X2014",0.0746370139825936
"X2015",0.0875501569225425
"X2016",0.088025534631987
"X2017",0.0837560447404386
