"","x"
"X1992",0.120224959105774
"X1993",0.131011695990507
"X1994",0.124897603552371
"X1995",0.0705172944967809
"X1996",0.0721500435842208
"X1997",0.0781854121953824
"X1998",0.122025310167764
"X1999",0.0947498198418888
"X2000",0.120073376052048
"X2001",0.118765911549464
"X2002",0.125426545086284
"X2003",0.13041254725235
"X2004",0.128942669581626
"X2005",0.133865961138835
"X2006",0.151764945754953
"X2007",0.147691868179463
"X2008",0.138902523773331
"X2009",0.141694262760448
"X2010",0.143513864136387
"X2011",0.143673783456417
"X2012",0.136153656891417
"X2013",0.128054055285979
"X2014",0.127285378482718
"X2015",0.127829326014633
"X2016",0.127860654243868
"X2017",0.128573596703895
