"","x"
"X1992",0.0316994737628269
"X1993",0.0367617634891909
"X1994",0.0369587375543669
"X1995",0.0344041644070402
"X1996",0.0392734199489599
"X1997",0.0353373579532984
"X1998",0.0312115265616947
"X1999",0.0331133316723365
"X2000",0.0358363257669728
"X2001",0.033671877899182
"X2002",0.0326484012323837
"X2003",0.0309666148276542
"X2004",0.0319365252103822
"X2005",0.0335207096557151
"X2006",0.0429637893877647
"X2007",0.0432702782043717
"X2008",0.0394842986325308
"X2009",0.0330528334991264
"X2010",0.0328417323500473
"X2011",0.0390220104269154
"X2012",0.0400632001718406
"X2013",0.0416264329484691
"X2014",0.0387139146383078
"X2015",0.0308753190884465
"X2016",0.0293103562847212
"X2017",0.0311718478304839
