"","x"
"X1992",0.0486377099066089
"X1993",0.0577072204309538
"X1994",0.0598630575308283
"X1995",0.0659513353174447
"X1996",0.0683549917570541
"X1997",0.0682932785332527
"X1998",0.0628548508145419
"X1999",0.0636665624271289
"X2000",0.0643142697851412
"X2001",0.0619454797236834
"X2002",0.0622332816227135
"X2003",0.0628066997850534
"X2004",0.0612587961710487
"X2005",0.059615817294286
"X2006",0.0645768481844194
"X2007",0.0662666939578905
"X2008",0.0661605513140065
"X2009",0.0656851035697345
"X2010",0.0663666576869588
"X2011",0.0654097242255643
"X2012",0.060772464129042
"X2013",0.0610652701799938
"X2014",0.0636207384782154
"X2015",0.0638750024201493
"X2016",0.0627747013004997
"X2017",0.0612488224095311
