"","x"
"X2000",0.0026907040835347
"X2001",0.00271911111304348
"X2002",0.00262987697903407
"X2003",0.00175150077835807
"X2004",0.00190898657438591
"X2005",0.0022581070925358
"X2006",0.00219089662271284
"X2007",0.00217172164047797
"X2008",0.00216120010381501
"X2009",0.00216120010381501
"X2010",0.00213213436830433
"X2011",0.00209046075310732
"X2012",0.00293567708680087
"X2013",0.0029339331486437
"X2014",0.00293421021967062
"X2015",0.0029417959124313
"X2016",0.00298248055177325
"X2017",0.00220699595159206
