"","x"
"X1992",0.0813787365958644
"X1993",0.0618256190705665
"X1994",0.0602379744487854
"X1995",0.060448081131369
"X1996",0.061305247770307
"X1997",0.0612851193024574
"X1998",0.0611681447958416
"X1999",0.0624479896055368
"X2000",0.0615721265745012
"X2001",0.0613055587108488
"X2002",0.0617349229640417
"X2003",0.0619445030413688
"X2004",0.0629828369035562
"X2005",0.0634816117354339
"X2006",0.0636078821257933
"X2007",0.0635264931525664
"X2008",0.0624074184050461
"X2009",0.0609025635683951
"X2010",0.0602406468701644
"X2011",0.0610432992921794
"X2012",0.0641102468990902
"X2013",0.0612146242587929
"X2014",0.0615725198834414
"X2015",0.0616893257165943
"X2016",0.0612945162509404
"X2017",0.0622667073863331
