"","x"
"X1992",0.110051581729243
"X1993",0.109955038966457
"X1994",0.102962560864688
"X1995",0.114802113470826
"X1996",0.0750294935320544
"X1997",0.0654483665005462
"X1998",0.0612809519107161
"X1999",0.0629855387254739
"X2000",0.0981186884280137
"X2001",0.102912589237609
"X2002",0.131336445704029
"X2003",0.108181267553208
"X2004",0.126560040120159
"X2005",0.128986730926625
"X2006",0.134710723914458
"X2007",0.137383736159835
"X2008",0.1275389540054
"X2009",0.117553036295581
"X2010",0.122001518049931
"X2011",0.119665353459323
"X2012",0.123985074875902
"X2013",0.131776767975061
"X2014",0.132976058761916
"X2015",0.132787963909931
"X2016",0.131220270805032
"X2017",0.129917323358246
