"","x"
"X1992",0.104340198901429
"X1993",0.103878928132648
"X1994",0.0651819956757935
"X1995",0.0987208680530933
"X1996",0.0656716110652199
"X1997",0.0684459373378145
"X1998",0.062300565300833
"X1999",0.0799687136150044
"X2000",0.0738329721611523
"X2001",0.0695132690909821
"X2002",0.107315298682136
"X2003",0.0983325121710647
"X2004",0.123029627846244
"X2005",0.0933463462546662
"X2006",0.127846560157034
"X2007",0.128106840651719
"X2008",0.128659282388644
"X2009",0.114038183573496
"X2010",0.122765176902522
"X2011",0.127584373904101
"X2012",0.127483359269276
"X2013",0.128865224890734
"X2014",0.129546793247474
"X2015",0.12940683385654
"X2016",0.126841801154722
"X2017",0.126664691051051
