"","x"
"X1992",0.00355337377973723
"X1993",0.00384505335135234
"X1994",0.00345676363048387
"X1995",0.00327614168571429
"X1996",0.00324992581505552
"X1997",0.00323903896249182
"X1998",0.00323615139918213
"X1999",0.00328111353219644
"X2000",0.00369464307483306
"X2001",0.00391233878386538
"X2002",0.00381855079340735
"X2003",0.00350128766194444
"X2004",0.0033830565367061
"X2005",0.00362603665600997
"X2006",0.00355993751386579
"X2007",0.00373029128696456
"X2008",0.00371965487526891
"X2009",0.00356166171871695
"X2010",0.0038639851480007
"X2011",0.0039109825359996
"X2012",0.00425274727496873
"X2013",0.00518031371975359
"X2014",0.00518094184616684
"X2015",0.00511277836578533
"X2016",0.00512852020805799
"X2017",0.00515622582108771
