"","x"
"X1992",0.00544355799658125
"X1993",0.0055811501180604
"X1994",0.00557506247858945
"X1995",0.002631940834712
"X1996",0.00257941337737136
"X1997",0.00291140061390477
"X1998",0.00321032265526438
"X1999",0.00321589366694832
"X2000",0.00480464386102522
"X2001",0.00487683996652189
"X2002",0.00482112404614215
"X2003",0.0048919764244191
"X2004",0.00449382687518483
"X2005",0.00420437765435857
"X2006",0.00375477682930042
"X2007",0.00557862617204242
"X2008",0.00700261028450558
"X2009",0.00784952971551147
"X2010",0.00773910345055747
"X2011",0.00770350013346937
"X2012",0.00748901476591761
"X2013",0.00758862726300912
"X2014",0.00668336065710919
"X2015",0.00649193329302457
"X2016",0.00757044881425173
"X2017",0.00794356460410536
