"","x"
"X1992",0.135658763907655
"X1993",0.133156815141658
"X1994",0.106119522502262
"X1995",0.0615289619249684
"X1996",0.0614937939269887
"X1997",0.071559136327737
"X1998",0.072369693418245
"X1999",0.13536389593539
"X2000",0.135553416118298
"X2001",0.134800842880899
"X2002",0.0961022135874268
"X2003",0.08755753816262
"X2004",0.088339736376025
"X2005",0.0856274787911515
"X2006",0.087134218002661
"X2007",0.0896065480742185
"X2008",0.07667461492994
"X2009",0.0741924573997591
"X2010",0.0776051685422586
"X2011",0.0839207992717276
"X2012",0.126574481706001
"X2013",0.125508064601399
"X2014",0.0852757856083912
"X2015",0.0899627646347795
"X2016",0.0889342156609413
"X2017",0.0986486040545992
