"","x"
"X1992",0.104591317445932
"X1993",0.109738174922311
"X1994",0.0956279708056454
"X1995",0.107518681230367
"X1996",0.100457000877653
"X1997",0.0970543471341612
"X1998",0.0690736573788013
"X1999",0.106226042233714
"X2000",0.105863246915434
"X2001",0.113899067298832
"X2002",0.0974788609158422
"X2003",0.0929788066529618
"X2004",0.0795350716538821
"X2005",0.0894416572670359
"X2006",0.122615471616454
"X2007",0.110891351918536
"X2008",0.108164888026872
"X2009",0.106930445519244
"X2010",0.0984568695068367
"X2011",0.102582249487926
"X2012",0.102753195684305
"X2013",0.129215417123994
"X2014",0.129879722454543
"X2015",0.13334861728327
"X2016",0.127853760522211
"X2017",0.124706842316973
