"","x"
"X1992",0.0435074390299041
"X1993",0.0427993257673171
"X1994",0.0371287585987456
"X1995",0.045518635608737
"X1996",0.0427403616307804
"X1997",0.0433556615956142
"X1998",0.0425809964665563
"X1999",0.0489209544841708
"X2000",0.0351176952129413
"X2001",0.0539077579406135
"X2002",0.0546859390243919
"X2003",0.0484514663663941
"X2004",0.0489148276279319
"X2005",0.0490509235367408
"X2006",0.0422158996038898
"X2007",0.0416252473425993
"X2008",0.051178770308395
"X2009",0.0546708935845364
"X2010",0.0561473593348813
"X2011",0.04289541374283
"X2012",0.0424685197427141
"X2013",0.0397301157219281
"X2014",0.0392336344279354
"X2015",0.0364397129181719
"X2016",0.0483541122392366
"X2017",0.0479475630980329
