"","x"
"X1992",0.0510509124716632
"X1993",0.0499619350327911
"X1994",0.0408733181702149
"X1995",0.040608062820869
"X1996",0.0409414880171223
"X1997",0.0406117189802016
"X1998",0.0393173128627645
"X1999",0.0411851261995134
"X2000",0.0589720180720916
"X2001",0.0504486569349307
"X2002",0.0705111929235887
"X2003",0.0685012932180993
"X2004",0.063971908460354
"X2005",0.0613121473483882
"X2006",0.0620210029044508
"X2007",0.043700633422035
"X2008",0.0380446587678286
"X2009",0.0356144005429413
"X2010",0.0520448006827464
"X2011",0.0679912507727212
"X2012",0.068832561507385
"X2013",0.0697688594944329
"X2014",0.0694992972020197
"X2015",0.0668164077918683
"X2016",0.0687910112102578
"X2017",0.069025386451152
