"","x"
"X1992",0.00469208733462824
"X1993",NA
"X1994",NA
"X1995",0.00431607409379528
"X1996",0.00476213368603797
"X1997",0.00476213368603797
"X1998",0.00420821854649799
"X1999",0.0046918302840527
"X2000",NA
"X2001",0.000507577228158885
"X2002",NA
"X2003",NA
"X2004",0.00146427088990832
"X2005",0.00125242990728351
"X2006",0.00154776137893839
"X2007",0.00146494843647121
"X2008",0.00195762168600241
"X2009",0.00155675378910273
"X2010",0.00142050145582082
"X2011",0.00152055888092905
"X2012",0.00157796827523811
"X2013",0.000828760317660692
"X2014",0.00161905329220225
"X2015",0.00175308546819991
"X2016",0.00176943494294556
"X2017",0.00174439671513027
