"","x"
"X1992",0.128573350840543
"X1993",0.124078647765456
"X1994",0.086374507784537
"X1995",0.0735740519665664
"X1996",0.0644065901654872
"X1997",0.0613887145221324
"X1998",0.0620113988773679
"X1999",0.0624496261282273
"X2000",0.0926238090037774
"X2001",0.101725843914268
"X2002",0.074365025362362
"X2003",0.128288774350928
"X2004",0.124693157201509
"X2005",0.0663472898588775
"X2006",0.122075733075539
"X2007",0.123821665307538
"X2008",0.0673932107623369
"X2009",0.121581609006384
"X2010",0.122287645002037
"X2011",0.0826406996551293
"X2012",0.0673779175549239
"X2013",0.100644407221887
"X2014",0.0963407544767184
"X2015",0.0626163692959869
"X2016",0.0597995530755881
"X2017",0.0731653366843628
