"","x"
"X1992",0.0623151634141331
"X1993",0.058736938128261
"X1994",0.0585788842739351
"X1995",0.0582448470927208
"X1996",0.0548330936802694
"X1997",0.0632525055264375
"X1998",0.0607746969221653
"X1999",0.0619972325217783
"X2000",0.0617889320837802
"X2001",0.062970534321606
"X2002",0.0616354782016625
"X2003",0.0628932072010016
"X2004",0.0629857123291568
"X2005",0.0645880981387403
"X2006",0.0575806902877439
"X2007",0.0590794933692004
"X2008",0.0593830343841306
"X2009",0.0608486997001598
"X2010",0.0675774871298695
"X2011",0.0703492507815005
"X2012",0.0709772762996876
"X2013",0.0691539461208752
"X2014",0.0692959265181943
"X2015",0.0777701741222838
"X2016",0.0781849650190506
"X2017",0.0632788069728448
