"","x"
"X1992",0.0755501351112244
"X1993",0.0865127866916506
"X1994",0.0848272247688769
"X1995",0.0699387436018212
"X1996",0.0701237411151331
"X1997",0.070780499100157
"X1998",0.0746879543397827
"X1999",0.0738836887644016
"X2000",0.0733157029179631
"X2001",0.087053880792087
"X2002",0.0859480205280691
"X2003",0.0824907335865677
"X2004",0.0965550927114993
"X2005",0.0964478767017682
"X2006",0.0761157282689955
"X2007",0.101712558531873
"X2008",0.121061770184998
"X2009",0.115418146869153
"X2010",0.118365894186156
"X2011",0.116376450360257
"X2012",0.125156455036731
"X2013",0.125449257396077
"X2014",0.127190726618221
"X2015",0.128194462328782
"X2016",0.133744146444596
"X2017",0.119118188977811
