"","x"
"X1992",0.00222479101105488
"X1993",0.00236751826618215
"X1994",0.00321248835352622
"X1995",0.0032548375446193
"X1996",0.00325309305334707
"X1997",0.00310933419863942
"X1998",0.00315555346604198
"X1999",0.00326664521774999
"X2000",0.00342902325944376
"X2001",0.00343179304215915
"X2002",0.00305254633579894
"X2003",0.00312670260842886
"X2004",0.00326046819501678
"X2005",0.00304282751739451
"X2006",0.00297683641156058
"X2007",0.00293469575125878
"X2008",0.00323989431814238
"X2009",0.00313612528188001
"X2010",0.00314375432861772
"X2011",0.00309003337682247
"X2012",0.00323575702204094
"X2013",0.00271724266413922
"X2014",0.00302013441190516
"X2015",0.00300427844754517
"X2016",0.0030975537259587
"X2017",0.00311792928668431
