"","x"
"X1992",0.0900130827196423
"X1993",0.0789829071672352
"X1994",0.0917307570563019
"X1995",0.0665313208481848
"X1996",0.0594992157175373
"X1997",0.0615812864811947
"X1998",0.0625557820023999
"X1999",0.0606522599190334
"X2000",0.0840736411086735
"X2001",0.123122401094293
"X2002",0.0871961743641648
"X2003",0.0873441112954876
"X2004",0.0642042572445841
"X2005",0.0820888995846628
"X2006",0.0764938556421174
"X2007",0.0751425653120838
"X2008",0.0682702603050791
"X2009",0.0663608175336653
"X2010",0.0803396980263955
"X2011",0.0795086091845837
"X2012",0.0990684163056603
"X2013",0.106745375744615
"X2014",0.0983299686175146
"X2015",0.0976320242058085
"X2016",0.103313223852892
"X2017",0.0972801840572033
