"","x"
"X1992",0.138779389278656
"X1993",0.139239813972728
"X1994",0.138948787689585
"X1995",0.127702752601465
"X1996",0.0883823029640091
"X1997",0.14228189309189
"X1998",0.145707239016146
"X1999",0.146237019136356
"X2000",0.145228331537064
"X2001",0.141324917483886
"X2002",0.13237972545225
"X2003",0.145534972330639
"X2004",0.145355527013588
"X2005",0.146337313886492
"X2006",0.146283189126176
"X2007",0.149586705596379
"X2008",0.149093590305496
"X2009",0.151918503077448
"X2010",0.149028618675747
"X2011",0.150078950216156
"X2012",0.147278770759481
"X2013",0.1524147306564
"X2014",0.142716393239127
"X2015",0.153609636657309
"X2016",0.153972449927594
"X2017",0.153570720457777
