"","x"
"X1996",0.0599982381531112
"X1997",0.0673131672902152
"X1998",0.0713989625324282
"X1999",0.0678642328627552
"X2000",0.140387011486416
"X2001",0.103902471492781
"X2002",0.119965726839268
"X2003",0.124557071088195
"X2004",0.120729398516263
"X2005",0.0772632064870118
"X2006",0.126275809143066
"X2007",0.131287387969261
"X2008",0.0750519866190026
"X2009",0.0749267533274946
"X2010",0.0790989952927366
"X2011",0.0870983088747149
"X2012",0.096769731516837
"X2013",0.0918287280415939
"X2014",0.094074988738169
"X2015",0.0950726011438437
"X2016",0.0904857746753076
"X2017",0.070288339051428
