"","x"
"X1992",0.0622955923530179
"X1993",0.059205366209983
"X1994",0.0623800790064182
"X1995",0.0637520856110436
"X1996",0.0644048759855049
"X1997",0.0625382845353224
"X1998",0.0627054418927878
"X1999",0.0554493020158179
"X2000",0.0611800463561075
"X2001",0.0599499169932282
"X2002",0.0624609728694019
"X2003",0.0618445966819941
"X2004",0.0619820336091461
"X2005",0.0614008437756665
"X2006",0.0618233511033949
"X2007",0.063185407133388
"X2008",0.0626794385356545
"X2009",0.0590875208259039
"X2010",0.0619609774614416
"X2011",0.0621817458504794
"X2012",0.0628087034506877
"X2013",0.0697238604759315
"X2014",0.0702096136110122
"X2015",0.0702219024050963
"X2016",0.0718107511085337
"X2017",0.0647686510345044
