"","x"
"X1992",0.00318930871906396
"X1993",0.00326971218133031
"X1994",0.0032796821867563
"X1995",0.00328188749452277
"X1996",0.00332298479250462
"X1997",0.00324098860579591
"X1998",0.0032065948287606
"X1999",0.00323785115945816
"X2000",0.00324919664110131
"X2001",0.00326088751617118
"X2002",0.00338603044243794
"X2003",0.00324178416986623
"X2004",0.00327042875582718
"X2005",0.00409514861440301
"X2006",0.00337215370346343
"X2007",0.00328069546129337
"X2008",0.00327920381723719
"X2009",0.00329842994334491
"X2010",0.00328807357917144
"X2011",0.00328256932427448
"X2012",0.00369198504096134
"X2013",0.00368376133198736
"X2014",0.00321211719804357
"X2015",0.00324559096320717
"X2016",0.00324303361437581
"X2017",0.00324870943607617
