"","x"
"X1992",0.0617162629178549
"X1993",0.0639951459033234
"X1994",0.0636736114581392
"X1995",0.0643667994243178
"X1996",0.0614653161045752
"X1997",0.0605979048578443
"X1998",0.0623402883356424
"X1999",0.0619889285616472
"X2000",0.0651165455961968
"X2001",0.0657911709444378
"X2002",0.0646827582141261
"X2003",0.0650403545655417
"X2004",0.0618640562496373
"X2005",0.0632307528969146
"X2006",0.0628974713820131
"X2007",0.0639553974802308
"X2008",0.060187875925123
"X2009",0.0597217042849065
"X2010",0.0629925345768858
"X2011",0.0651732778112046
"X2012",0.0643262323911348
"X2013",0.0634106247146835
"X2014",0.0631943773044227
"X2015",0.0628715875618687
"X2016",0.0617898237980965
"X2017",0.0628235796847849
