"","x"
"X1992",0.0936590152503426
"X1993",0.0631947997900197
"X1994",0.0761395138875454
"X1995",0.0867905434619968
"X1996",0.0619243592341878
"X1997",0.0615002501263605
"X1998",0.0602483637156653
"X1999",0.0609057032962828
"X2000",0.0611388880892976
"X2001",0.0615470748977059
"X2002",0.0612071475224607
"X2003",0.0612663348557636
"X2004",0.0562590713323304
"X2005",0.0567395648445616
"X2006",0.0575420844767363
"X2007",0.0599604433539306
"X2008",0.0595978751154209
"X2009",0.054013841107221
"X2010",0.0533655408457976
"X2011",0.0530490232316897
"X2012",0.0456204133669736
"X2013",0.0466496002099039
"X2014",0.0536650126791459
"X2015",0.0563500905134197
"X2016",0.053480349414185
"X2017",0.0535856367804362
