"","x"
"X1992",0.11860922260709
"X1993",0.114775749990306
"X1994",0.115615969517519
"X1995",0.0761033255721527
"X1996",0.0777488124321393
"X1997",0.0737139401355809
"X1998",0.0722727351106505
"X1999",0.0969587665963665
"X2000",0.105313676011017
"X2001",0.100836944335868
"X2002",0.0952648187004079
"X2003",0.10266494447515
"X2004",0.100005886477665
"X2005",0.0911994360140097
"X2006",0.100834545113095
"X2007",0.123162383885503
"X2008",0.114511766426817
"X2009",0.113023444925418
"X2010",0.115626861810257
"X2011",0.107314231448271
"X2012",0.107337509607167
"X2013",0.131258460207398
"X2014",0.130678031168751
"X2015",0.131306005825497
"X2016",0.131502693575351
"X2017",0.125729825085792
