"","x"
"X1992",0.00364134678067064
"X1993",0.00303343483863009
"X1994",0.0031153358844114
"X1995",0.0031613679478912
"X1996",0.00326189674777612
"X1997",0.00321670575524923
"X1998",0.0033663249891186
"X1999",0.00393143516413954
"X2000",0.00440815546075317
"X2001",0.00434133693363728
"X2002",0.00434812396283708
"X2003",0.00431689868428204
"X2004",0.00377366076764023
"X2005",0.00345851350528829
"X2006",0.00345154640018807
"X2007",0.00407807183270864
"X2008",0.00394048845271732
"X2009",0.00641851735011976
"X2010",0.00656396307537048
"X2011",0.00659892391219598
"X2012",0.00595506292432575
"X2013",0.00703176786299144
"X2014",0.00695117249932713
"X2015",0.00668876535521162
"X2016",0.00679697362142592
"X2017",0.00657444158540962
