"","x"
"X1992",0.00651751380643707
"X1993",0.00601309992887732
"X1994",0.00513884947663954
"X1995",0.00323353758493146
"X1996",0.00309945360474668
"X1997",0.00329257862502945
"X1998",0.00369532815193809
"X1999",0.00368804536380857
"X2000",0.00683482087268231
"X2001",0.00687251512723575
"X2002",0.00677590251655604
"X2003",0.0077895673768452
"X2004",0.0077983947869068
"X2005",0.00582268532633608
"X2006",0.0059447959206598
"X2007",0.00809111172805196
"X2008",0.00800075726126387
"X2009",0.00796245429876404
"X2010",0.00771633213062268
"X2011",0.00771707623462893
"X2012",0.00805363886987225
"X2013",0.00787228473140469
"X2014",0.00769725874297457
"X2015",0.00490361267219736
"X2016",0.00460475429823065
"X2017",0.00759372130673317
