"","x"
"X1992",0.0060121126273615
"X1993",0.00616276148578076
"X1994",0.0057239161348258
"X1995",0.00371159801357784
"X1996",0.00407449223789951
"X1997",0.00449696066275415
"X1998",0.00430435621668242
"X1999",0.00378826847301915
"X2000",0.00651423579732647
"X2001",0.00651095654310309
"X2002",0.00654796426590037
"X2003",0.00649305665138557
"X2004",0.00661408827024029
"X2005",0.00645958616362408
"X2006",0.00660582035870717
"X2007",0.00588251624373531
"X2008",0.00667097787578734
"X2009",0.0064118179185506
"X2010",0.00560488259951807
"X2011",0.00610637064388165
"X2012",0.00729347927478665
"X2013",0.0068745699991663
"X2014",0.00678811083011158
"X2015",0.0068618839615792
"X2016",0.0068316269875384
"X2017",0.00688253029002907
