"","x"
"X1992",0.114219401533325
"X1993",0.0620114185639775
"X1994",0.0622265875770517
"X1995",0.0973375335480726
"X1996",0.0643326129387429
"X1997",0.0640038239663255
"X1998",0.0643145941215243
"X1999",0.0628276394442965
"X2000",0.111972193815573
"X2001",0.112345359345479
"X2002",0.130837659904008
"X2003",0.130288485169718
"X2004",0.125677649077834
"X2005",0.0978378402634925
"X2006",0.0962202203549859
"X2007",0.0870486308392823
"X2008",0.0986795461452427
"X2009",0.135887232807272
"X2010",0.135815342950635
"X2011",0.135980919999124
"X2012",0.135341131498871
"X2013",0.134851796637255
"X2014",0.129901876566535
"X2015",0.131477800230074
"X2016",0.132103632003526
"X2017",0.132165237160213
