"","x"
"X1992",0.0982520086288402
"X1993",0.0957466329417245
"X1994",0.0954219482935881
"X1995",0.0955454190051351
"X1996",0.0613815000575369
"X1997",0.0594618351838645
"X1998",0.0636205761926234
"X1999",0.0627565945624331
"X2000",0.0949222604615972
"X2001",0.112699374613208
"X2002",0.107782278999923
"X2003",0.108563944926137
"X2004",0.124124315709429
"X2005",0.122821466898471
"X2006",0.122931475357087
"X2007",0.124673355116518
"X2008",0.124760246076966
"X2009",0.130326495962201
"X2010",0.130256238299258
"X2011",0.123870256153281
"X2012",0.123722243411767
"X2013",0.12874337286203
"X2014",0.129761375857239
"X2015",0.13060969840591
"X2016",0.12643487886285
"X2017",0.125965124819321
