"","x"
"X1992",0.00360782520957472
"X1993",0.00426029087600163
"X1994",0.00559005888006753
"X1995",0.00234706134561373
"X1996",0.00210887819557801
"X1997",0.00312093101258064
"X1998",0.00434465121905872
"X1999",0.00495146050388889
"X2000",0.00456927283120918
"X2001",0.00390330618862837
"X2002",0.0032653511265192
"X2003",0.00236535322527332
"X2004",0.00236366779691886
"X2005",0.0036892932654529
"X2006",0.00375613540397178
"X2007",0.00329532143961637
"X2008",0.00330387305421383
"X2009",0.00742742839125266
"X2010",0.00731158614448271
"X2011",0.00728648251573918
"X2012",0.0076072596742605
"X2013",0.00774031347480965
"X2014",0.00711238636179413
"X2015",0.00685133165810958
"X2016",0.00656117397442272
"X2017",0.00656132314185731
