"","x"
"X1992",0.0632390740719238
"X1993",0.0641217865407205
"X1994",0.0653856248338818
"X1995",0.0632921557642663
"X1996",0.0643059029514261
"X1997",0.0616486029388441
"X1998",0.0644875556031586
"X1999",0.0620065506014635
"X2000",0.0912020521461765
"X2001",0.0809590299256405
"X2002",0.0598347760728695
"X2003",0.118291239564255
"X2004",0.0873433477098514
"X2005",0.12925737631042
"X2006",0.130048650011725
"X2007",0.106896648224028
"X2008",0.110003015093536
"X2009",0.105832196885185
"X2010",0.124927384462836
"X2011",0.127987191062172
"X2012",0.106178880344934
"X2013",0.123104907227387
"X2014",0.106847742121492
"X2015",0.101055023277465
"X2016",0.123255275130676
"X2017",0.0836290589447488
