"","x"
"X1992",0.00304144876154714
"X1993",0.0031048071888925
"X1994",0.00233948609423808
"X1995",0.0024151671562489
"X1996",0.00260900367186282
"X1997",0.00279014067678787
"X1998",0.00265694804658629
"X1999",0.00286327806089852
"X2000",0.00269750641527116
"X2001",0.00272428190120791
"X2002",0.00272353303049408
"X2003",0.0027101464386252
"X2004",0.00271920517897271
"X2005",0.0028884570379279
"X2006",0.00309573681354223
"X2007",0.00316496849777339
"X2008",0.00312389170805992
"X2009",0.00306065661204477
"X2010",0.00324850226493867
"X2011",0.00315028978688341
"X2012",0.00317669922550314
"X2013",0.00314990899669915
"X2014",0.00329805368119502
"X2015",0.00376280167558264
"X2016",0.00402636342671617
"X2017",0.00321853442797664
